trt,trt_mean,std,r,se,Min,Max,Q25,Q50,Q75,FQS_mean,stat_grp,practice_subset,practice,production_type,product_name,FQS,max_value,product_FQS,stat_grp_conv,conv_mean,stat_grp_conv_diff,mean_conv_diff,pval_tukey
Autres_cereales:AB,66.0885681269645,65.0488572277464,46,7.04112605290944,0.535606153700056,293.258801665661,18.1782629645094,48.5010582068924,94.5923783835925,66.0885681269645,abc,crops,A.2.1,crop,Autres_cereales,AB,502.965341046946,Autres_cereales - AB,bcd,56.8922298894959,FALSE,9.19633823746862,0.9997
Autres_cereales:Conventionnel,56.8922298894959,53.4905342356442,182,3.53985392716892,1.09484826234073,306.245354540647,21.9683835525365,38.8019980484675,75.175850022558,56.8922298894959,bcd,crops,A.2.1,crop,Autres_cereales,Conventionnel,502.965341046946,Autres_cereales - Conventionnel,bcd,56.8922298894959,FALSE,0,NA
Ble_tendre:AB,54.9155212839164,50.6705855060824,93,4.95198774065674,0.535606153700056,196.431520822442,16.5110511312901,36.1541733798882,79.5625265696295,54.9155212839164,bcd,crops,A.2.1,crop,Ble_tendre,AB,502.965341046946,Ble_tendre - AB,cd,49.7056400604718,FALSE,5.20988122344459,0.9999
Ble_tendre:Conventionnel,49.7056400604718,47.2482563456016,3136,0.852772148993074,0,349.527922797606,15.3308941826752,33.5154874855528,69.6098324874185,49.7056400604718,cd,crops,A.2.1,crop,Ble_tendre,Conventionnel,502.965341046946,Ble_tendre - Conventionnel,cd,49.7056400604718,FALSE,0,NA
Ble_tendre:LR,46.1657731228127,43.5753926948,100,4.77552403436122,0.203174757468721,152.570215268713,13.0096625306737,30.4717287531991,67.8626734022674,46.1657731228127,cd,crops,A.2.1,crop,Ble_tendre,LR,502.965341046946,Ble_tendre - LR,cd,49.7056400604718,FALSE,-3.53986693765915,1
Mais_fourrage:AB,88.9113394451443,58.6209836256552,44,7.19937336331838,3.58632664660631,293.258801665661,45.9445830702714,84.430002809202,121.790396643524,88.9113394451443,a,crops,A.2.1,crop,Mais_fourrage,AB,502.965341046946,Mais_fourrage - AB,abc,64.6267472478205,FALSE,24.2845921973237,0.0887
Mais_fourrage:Conventionnel,64.6267472478205,53.043221146662,1806,1.12373048347389,0,304.741769190635,22.0062034949493,47.6892922565332,96.6733213608281,64.6267472478205,abc,crops,A.2.1,crop,Mais_fourrage,Conventionnel,502.965341046946,Mais_fourrage - Conventionnel,abc,64.6267472478205,FALSE,0,NA
Mais_grain:AB,56.8495910537342,53.9103678428872,37,7.85091315101378,0,237.2752881835,15.646777534899,39.9162958568234,78.5093416280739,56.8495910537342,bcd,crops,A.2.1,crop,Mais_grain,AB,502.965341046946,Mais_grain - AB,bcd,52.7520551793111,FALSE,4.09753587442316,1
Mais_grain:Conventionnel,52.7520551793111,46.8469061882811,1656,1.17352100881824,0,502.965341046946,18.8013532566447,39.0676076329355,71.7843992999797,52.7520551793111,bcd,crops,A.2.1,crop,Mais_grain,Conventionnel,502.965341046946,Mais_grain - Conventionnel,bcd,52.7520551793111,FALSE,0,NA
Melange_cereales_d_ete:AB,75.6581606102067,54.3309039168046,53,6.55968674510375,0,237.2752881835,32.2413435994248,67.0636834369916,118.033747849956,75.6581606102067,ab,crops,A.2.1,crop,Melange_cereales_d_ete,AB,502.965341046946,Melange_cereales_d_ete - AB,a,88.7460559406785,FALSE,-13.0878953304718,0.9771
